holiday_date,holiday_reason
14/7/20,Republic Day of Iraq
30/7/20,Eid al-Qurban Feast (Estimated - Islamic Calendar)
31/7/20,Eid al-Qurban Feast (Estimated - Islamic Calendar)
1/8/20,Eid al-Qurban Feast (Estimated - Islamic Calendar)
2/8/20,Eid al-Qurban Feast (Estimated - Islamic Calendar)
20/8/20,"20 August: Muharram (Islamic New Year, Estimated - Islamic Calendar)"
29/8/20,Ashura
3/10/20,Iraqi Independence Day (National Day)
29/10/20,Birthday of prophet Mohammed (Estimated - Islamic Calendar)
24/12/20,Christmas/New Year
25/12/20,Christmas/New Year
26/12/20,Christmas/New Year
27/12/20,Christmas/New Year
28/12/20,Christmas/New Year
29/12/20,Christmas/New Year
30/12/20,Christmas/New Year
31/12/20,Christmas/New Year
1/1/21,Christmas/New Year
2/1/21,Christmas/New Year
3/1/21,Christmas/New Year
4/1/21,Christmas/New Year
5/1/21,Christmas/New Year
6/1/21,Christmas/New Year
7/1/21,Christmas/New Year
05/03/21,Uprising Day (against Saddam Hussein’s regime)
11/03/21,Anniversary of 11 March agreement (1970)
14/03/21,Nawroz Kurdish New Year
21/03/21,Nawroz Kurdish New Year
22/03/21,Nawroz Kurdish New Year
23/03/21,Nawroz Kurdish New Year
24/03/21,Nawroz Kurdish New Year
25/03/21,Nawroz Kurdish New Year
09/04/21,Baghdad Liberation Day (fall of Saddam Hussein’s regime)
14/04/21,Yazidi New Year
01/05/20,International Workers' Day
13/05/21,Eid al-Fitr (Estimated - Islamic Calendar)
14/05/21,Eid al-Fitr (Estimated - Islamic Calendar)
15/05/21,Eid al-Fitr (Estimated - Islamic Calendar)
14/7/21,Republic Day of Iraq
20/7/21,Eid al-Adha (Estimated - Islamic Calendar)
21/7/21,Eid al-Adha (Estimated - Islamic Calendar)
22/7/21,Eid al-Adha (Estimated - Islamic Calendar)
23/7/21,Eid al-Adha (Estimated - Islamic Calendar)
10/08/21,Islamic New Year (Estimated - Islamic Calendar)
10/08/21,Ashura Day (Estimated - Islamic Calendar)
03/10/21,Iraqi Independence Day
19/10/21,Birthday of Prophet Mohammed (Estimated - Islamic Calendar)
25/12/21,Christmas Day
26/12/21,Christmas/New Year
27/12/21,Christmas/New Year
28/12/21,Christmas/New Year
29/12/21,Christmas/New Year
30/12/21,Christmas/New Year
1/1/22,Christmas/New Year
05/03/22,Uprising Day (against Saddam Hussein’s regime)
11/03/22,Anniversary of 11 March agreement (1970)
14/03/22,Birthday of Mustafa Barzani
21/03/22,Nawroz Kurdish New Year
22/03/22,Nawroz Kurdish New Year
23/03/22,Nawroz Kurdish New Year
01/04/22,Assyrian New Year
09/04/22,Baghdad Liberation Day (fall of Saddam Hussein’s regime)
20/04/22,Yazidi New Year
01/05/22,International Workers' Day
03/05/22,Eid al-Fitr  (Estimated - Islamic Calendar)
04/05/22,Eid al-Fitr  (Estimated - Islamic Calendar)
05/05/22,Eid al-Fitr  (Estimated - Islamic Calendar)
10/07/22,Eid al-Qurban Feast (Estimated - Islamic Calendar)
11/07/22,Eid al-Qurban Feast (Estimated - Islamic Calendar)
12/07/22,Eid al-Qurban Feast (Estimated - Islamic Calendar)
13/07/22,Eid al-Qurban Feast (Estimated - Islamic Calendar)
14/07/22,Eid al-Qurban Feast (Estimated - Islamic Calendar)
30/07/22,Muharram (Islamic New Year)
08/08/22,Ashura
03/10/22,Iraqi Independence Day
08/10/22,Birthday of Prophet Mohammed (PBUH)
25/12/22,Christmas Day